"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001","Terraform VPC & Networking Module","Define VPC, Public/Private Subnets across 3 AZs, NAT Gateways, and Security Groups.","Task","Sprint Backlog","Critical","devops@company.com","tech.lead@company.com","2025-02-05","5.1","3","infrastructure,terraform,network","Sprint 1","Establish Core Infrastructure & Service Foundations","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-001","","Terraform,AWS Networking","Medium","Low","VPC created with CIDR 10.0.0.0/16; Subnets in 3 AZs; Internet access verified","Terraform applied; Network reachability tests passed","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","15%","None","AWS Quota Check","Terraform Plan/Apply validation","Apply to Dev environment first","Fundamental connectivity for all services"
"TASK-INFRA-004","Provision RDS PostgreSQL with pgvector","Deploy RDS instance, configure security groups, create database, and enable pgvector extension.","Task","Sprint Backlog","High","devops@company.com","tech.lead@company.com","2025-02-07","4","2","infrastructure,database,rds","Sprint 1","Establish Core Infrastructure & Service Foundations","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-003","TASK-INFRA-001","Terraform,PostgreSQL","Medium","Low","RDS accessible from VPC; pgvector extension verified; Encryption enabled","Terraform applied; DB Connection verified","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","10%","Backend Team (Connection Strings)","None","Connection test from bastion","Store credentials in Secrets Manager","Enables vector search capability"
"TASK-INFRA-005","Provision Secure S3 Buckets & Policies","Create buckets for 'raw-sow' and 'sanitized-sow'. Configure Block Public Access, Versioning, and KMS Encryption.","Task","Sprint Backlog","High","devops@company.com","tech.lead@company.com","2025-02-06","2.1","1","infrastructure,security,s3","Sprint 1","Establish Core Infrastructure & Service Foundations","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-003","","Terraform,AWS IAM","Low","Low","Buckets created; Public access blocked; KMS enabled","Terraform applied; Policy verification check","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","5%","None","None","Policy simulator check","None","Secure storage for sensitive documents"
"TASK-SOW-001","Python Worker SQS Consumer Skeleton","Setup Python service, Dockerfile, and robust SQS consumer loop with idempotency checks and Dead Letter Queue handling.","Task","Sprint Backlog","Critical","backend.ai@company.com","tech.lead@company.com","2025-02-07","6.3","3","backend,python,sqs","Sprint 1","Establish Core Infrastructure & Service Foundations","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-002","","Python,AWS SQS,Docker","Medium","Medium","Service connects to SQS; Messages acknowledged on success; Errors routed to DLQ","LocalStack integration test passed; Docker build success","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","20%","DevOps (SQS Setup)","LocalStack for testing","Integration test with mocked SQS","Deploy to ECR","Foundation for asynchronous AI processing"
"TASK-FIN-001","Stripe Service Configuration & Client Implementation","Setup C# Stripe Service wrapper with configuration for keys, webhooks, and retry policies.","Task","Sprint Backlog","High","backend.fin@company.com","tech.lead@company.com","2025-02-06","4","2","backend,csharp,stripe","Sprint 1","Establish Core Infrastructure & Service Foundations","Financial & Transaction Management","EPIC-FINANCE","Enterprise Mediator Platform","WI-FIN-001","","C#,Stripe API","Medium","Low","Service injected via DI; Config loaded from Secrets; Stripe API auth verified","Unit tests passing; Stripe Mock connection verification","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","15%","None","Stripe Test Keys","Unit tests","None","Enables payment processing capability"
"TASK-UI-001","Tailwind & Theme Configuration","Configure Tailwind with project color palette, typography, and breakpoints. Implement Dark Mode toggle via CSS variables.","Task","Sprint Backlog","High","frontend@company.com","design.lead@company.com","2025-02-06","6.3","3","frontend,css,tailwind","Sprint 1","Establish Core Infrastructure & Service Foundations","Frontend Application & Design System","EPIC-FRONTEND","Enterprise Mediator Platform","WI-UI-001","","CSS,Tailwind,React","Low","Low","Tailwind config matches design; Dark mode persists; Typography scale defined","Visual inspection of styleguide; Linting passed","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","20%","Design Team (Tokens)","Design Tokens","Visual regression test","None","Ensures visual consistency across app"
"TASK-UI-002","Base Component Library - Primitives","Implement Button, Input, Card, and Badge components using Radix UI primitives for accessibility.","Task","Sprint Backlog","High","frontend@company.com","design.lead@company.com","2025-02-10","10","5","frontend,react,radix-ui","Sprint 1","Establish Core Infrastructure & Service Foundations","Frontend Application & Design System","EPIC-FRONTEND","Enterprise Mediator Platform","WI-UI-001","TASK-UI-001","React,Radix UI,TypeScript","Medium","Low","Variants implemented; Fully accessible (keyboard nav, ARIA); Responsive","Storybook stories created; Axe scan passing","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","30%","None","None","Storybook, Axe","Publish to internal registry","Accelerates UI development with reusable blocks"
"TASK-INFRA-002","Terraform EKS Cluster & Node Groups","Provision Control Plane, Managed Node Groups, and IAM Roles for Service Accounts (IRSA).","Task","Sprint Backlog","Critical","devops@company.com","tech.lead@company.com","2025-02-13","8.3","5","infrastructure,kubernetes,aws","Sprint 1","Establish Core Infrastructure & Service Foundations","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-001","TASK-INFRA-001","Terraform,Kubernetes,AWS IAM","High","Medium","Control plane 1.29+ active; Nodes in private subnets; IRSA configured","kubectl get nodes returns Ready; Terraform apply clean","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","30%","None","None","Smoke test cluster","Long running apply","Compute platform for microservices"
"TASK-FIN-002","Invoice Creation Logic & DB Schema","Implement business logic to calculate invoice totals (including platform fees/tax) and persist Invoice entity.","Task","Backlog","High","backend.fin@company.com","product.owner@company.com","2025-02-20","6.3","3","backend,finance,database","Sprint 2","Core Business Logic & AI Processing Pipeline","Financial & Transaction Management","EPIC-FINANCE","Enterprise Mediator Platform","WI-FIN-001","TASK-FIN-001,TASK-INFRA-004","C#,EF Core,Domain Modeling","Medium","Low","Tax calculated correctly; Invoice persisted in Pending; Linked to Client/Project","Unit tests pass; DB schema migration script created","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","20%","None","None","Calculation unit tests","Run migrations","Core revenue tracking entity"
"TASK-SOW-002","SOW Document Retrieval & Text Extraction","Implement logic to download SOW from S3 and extract text from PDF/DOCX formats.","Task","Backlog","High","backend.ai@company.com","tech.lead@company.com","2025-02-19","5.1","3","backend,python,file-processing","Sprint 2","Core Business Logic & AI Processing Pipeline","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-002","TASK-SOW-001,TASK-INFRA-005","Python,Boto3,File I/O","Medium","Medium","Downloads file via S3 key; Extracts raw text; Handles corrupt files","Unit tests with sample PDFs; Error handling verified","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","15%","None","S3 Access","Test with diverse file samples","None","Extracts raw data for AI processing"
"TASK-SOW-003","PII Detection & Redaction Logic","Integrate AWS Comprehend or Regex/Spacy to detect entities and replace them with placeholders.","Task","Backlog","High","backend.ai@company.com","tech.lead@company.com","2025-02-21","8","5","ai,nlp,security","Sprint 2","Core Business Logic & AI Processing Pipeline","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-002","TASK-SOW-002","Python,NLP,AWS Comprehend","High","Medium","Identifies 90%+ PII; Replaces with placeholders; Preserves structure","Test against PII dataset passed; Privacy check","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","25%","None","AWS Comprehend","Accuracy testing on sample set","None","Ensures GDPR/Privacy compliance"
"TASK-UI-003","Complex Component Library - Overlays","Implement Dialog (Modal), Toast (Notifications), and Dropdown Menu using Radix primitives.","Task","Backlog","Medium","frontend@company.com","design.lead@company.com","2025-02-24","12","5","frontend,react,accessibility","Sprint 2","Core Business Logic & AI Processing Pipeline","Frontend Application & Design System","EPIC-FRONTEND","Enterprise Mediator Platform","WI-UI-001","TASK-UI-002","React,Radix UI","Medium","Low","Dialog traps focus; Toast manager handles queue; Dropdowns accessible","Storybook stories; Accessibility tests passed","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","40%","None","None","Interaction testing","None","Critical UI patterns for user interaction"
"TASK-INFRA-003","Configure Cluster Autoscaler & Metrics Server","Deploy Metrics Server and Cluster Autoscaler via Helm charts within Terraform.","Task","Backlog","Medium","devops@company.com","tech.lead@company.com","2025-02-19","4.3","3","infrastructure,kubernetes,autoscaling","Sprint 2","Core Business Logic & AI Processing Pipeline","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-001","TASK-INFRA-002","Helm,Kubernetes","Medium","Low","Metrics API active; Autoscaler detects ASGs and scales","Load test triggers scaling event","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","15%","None","None","Stress testing","None","Cost optimization and reliability"
"TASK-FIN-003","Stripe Payment Intent & Link Generation","Create Stripe PaymentIntent or Checkout Session based on Invoice data and generate secure payment URL.","Task","Backlog","High","backend.fin@company.com","tech.lead@company.com","2025-02-25","6","3","backend,integration,stripe","Sprint 2","Core Business Logic & AI Processing Pipeline","Financial & Transaction Management","EPIC-FINANCE","Enterprise Mediator Platform","WI-FIN-001","TASK-FIN-002","C#,Stripe API","Medium","Medium","Creates valid Session; Returns secure URL; Stores Session ID","Integration test with Stripe Sandbox","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","20%","None","Stripe API","Mocked payment flow","None","Enables client payment"
"TASK-SOW-004","OpenAI Integration for Structured Data Extraction","Design prompts and implement OpenAI API calls to extract Scope, Timeline, Budget, and Skills into structured JSON.","Task","Backlog","Critical","backend.ai@company.com","tech.lead@company.com","2025-03-05","10.3","5","ai,llm,openai","Sprint 3","System Integration & End-to-End Workflows","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-002","TASK-SOW-003","Python,OpenAI API,Prompt Engineering","High","High","Extracts fields to schema; Handles rate limits; Validates output JSON","Validation against ground-truth SOWs; 90% accuracy","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-03-03","2025-03-14","30%","None","OpenAI API","Accuracy benchmark tests","None","Automates project setup"
