"task_id","title","description","type","status","priority","assignee","estimated_hours","story_points","sprint","epic_id","dependencies","skills_required","risk_level","acceptance_criteria"
"TASK-INF-001-01","Design VPC and Network Architecture","Define Terraform modules for VPC, Subnets (Public/Private), NAT Gateways, and Security Groups required for EKS.","Task","Sprint Backlog","Critical","devops.lead@emp.com","5.2","3","Sprint 1","EPIC-CORE-INFRA","","Terraform,AWS Networking","Low","VPC created with non-overlapping CIDR; Subnets tags correctly for AWS Load Balancer Controller"
"TASK-INF-001-02","Implement EKS Control Plane & Node Groups","Provision EKS Control Plane and Managed Node Groups using Terraform. Configure OIDC provider.","Task","Sprint Backlog","Critical","devops.lead@emp.com","10.3","5","Sprint 1","EPIC-CORE-INFRA","TASK-INF-001-01","Terraform,Kubernetes,AWS IAM","Medium","Control plane active in Multi-AZ; OIDC provider URL output; Worker nodes registered"
"TASK-INF-002-01","Provision User Pool & Groups","Create Cognito User Pool with Terraform. Define User Groups (SystemAdmin, FinanceManager, ClientContact, VendorContact).","Task","Sprint Backlog","High","backend.security@emp.com","5.2","3","Sprint 1","EPIC-CORE-INFRA","","Terraform,AWS Cognito","Low","User Pool created; 4 User Groups created; Password policies configured"
"TASK-INF-003-01","Provision RDS PostgreSQL with pgvector","Deploy RDS instance using Terraform. Enable 'pgvector' extension via initialization script or parameter group.","Task","Sprint Backlog","High","devops.lead@emp.com","6.3","3","Sprint 1","EPIC-CORE-INFRA","TASK-INF-001-01","Terraform,PostgreSQL,AWS RDS","Medium","RDS instance active; pgvector extension installed; Security group allows EKS access"
"TASK-API-001-01","Setup NestJS Auth Module & JWT Strategy","Implement the core Auth module, passport-jwt strategy configuration using Cognito public keys (JWKS).","Task","Sprint Backlog","Critical","backend.lead@emp.com","8","5","Sprint 1","EPIC-BACKEND-CORE","TASK-INF-002-01","NestJS,Passport.js,JWT","High","JWTs signed by Cognito are validated; Expired tokens rejected"
"TASK-API-003-01","Client Entity CRUD & Validation","Implement DTOs with class-validator, Service methods, and Controller endpoints for Client management.","Task","Sprint Backlog","High","backend.dev@emp.com","10","5","Sprint 1","EPIC-BACKEND-CORE","TASK-INF-003-01","NestJS,TypeORM,PostgreSQL","Low","Create, Read, Update, Delete endpoints work; Validation prevents invalid data"
"TASK-AI-001-01","S3 Upload Service & Presigned URLs","Implement service to generate presigned URLs for secure client-side upload or handle streaming upload to S3.","Task","Sprint Backlog","High","backend.dev@emp.com","6.3","3","Sprint 2","EPIC-AI-AUTOMATION","","NestJS,AWS S3","Low","Validates file type (PDF/Docx) and size; Securely stores file in S3"
"TASK-AI-001-02","SQS Event Producer Implementation","Implement producer service to publish 'SOW_UPLOADED' events to SQS queue.","Task","Sprint Backlog","High","backend.lead@emp.com","4","2","Sprint 2","EPIC-AI-AUTOMATION","TASK-AI-001-01","NestJS,AWS SQS","Low","Message published to correct queue; Message contains S3 key"
"TASK-AI-002-01","Worker Service Skeleton & SQS Consumer","Setup separate Node/Python service, configure SQS consumer loop with long-polling and error handling.","Task","Sprint Backlog","Critical","ai.engineer@emp.com","8","5","Sprint 2","EPIC-AI-AUTOMATION","TASK-AI-001-02","Node.js/Python,AWS SQS","Medium","Service consumes messages; Acknowledges success; Sends to DLQ on failure"
"TASK-AI-002-02","Document Text Extraction Logic","Implement logic to download file from S3 and extract raw text from PDF/Docx.","Task","Sprint Backlog","Critical","ai.engineer@emp.com","10.3","5","Sprint 2","EPIC-AI-AUTOMATION","","File Parsing,Python/Node","Medium","Text extracted accurately; Encoding issues handled; Large files handled"
"TASK-AI-002-03","LLM Integration for Data Extraction","Integrate OpenAI API. Design prompts to extract structured JSON (Skills, Scope, Timeline).","Task","Sprint Backlog","Critical","ai.engineer@emp.com","12.7","8","Sprint 2","EPIC-AI-AUTOMATION","TASK-AI-002-02","OpenAI API,Prompt Engineering","High","Returns valid JSON schema; Identifies key fields correctly; Handles API rate limits"
