"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001-A","VPC & Networking Module","Create VPC with public/private subnets across 3 AZs. NAT Gateways for private outbound access.","Task","Sprint Backlog","Critical","devops.lead@emp.com","architect@emp.com","2025-02-05","8.3","5","infrastructure,terraform,networking","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Infrastructure & DevOps Foundation","EPIC-INFRA-DEVOPS","Enterprise Mediator Platform","WI-INFRA-001","","Terraform,AWS Networking","High","Low","VPC created; Subnets tagged for EKS; IGW/NAT configured","Terraform apply successful; Network reachability verified","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","None","AWS Quotas","Infrastructure verification","Apply to dev environment first","Foundation for all subsequent services"
"TASK-INFRA-001-B","EKS Cluster & Node Groups","Define EKS Cluster control plane. Configure Managed Node Groups with Spot/On-Demand mix.","Task","Sprint Backlog","Critical","devops.lead@emp.com","architect@emp.com","2025-02-07","12","8","infrastructure,kubernetes,eks","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Infrastructure & DevOps Foundation","EPIC-INFRA-DEVOPS","Enterprise Mediator Platform","WI-INFRA-001","TASK-INFRA-001-A","Terraform,Kubernetes","High","Medium","Cluster ACTIVE; Nodes joined; kubectl access configured","Terraform apply successful; Nodes healthy","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","None","None","Cluster health check","Requires IAM authenticator","Compute platform for microservices"
"TASK-AUTH-001-A","Terraform: Cognito User Pool Definition","Define User Pool resource with password policies (Argon2id settings), MFA (TOTP), and custom attributes.","Task","Sprint Backlog","Critical","backend.sec@emp.com","architect@emp.com","2025-02-05","5.2","3","security,iam,terraform","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Identity & Access Management Foundation","EPIC-AUTH-IAM","Enterprise Mediator Platform","WI-AUTH-001","","Terraform,AWS IAM","Medium","Low","User Pool created; Password policy set; MFA enabled","Terraform plan/apply success; AWS Console verification","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","DevOps","None","Configuration verification","State file locking required","Central identity directory"
"TASK-AUTH-001-B","Terraform: App Clients & Triggers","Define App Clients for Web/API. Implement Pre-Token Generation lambda trigger for custom claims.","Task","Sprint Backlog","Critical","backend.sec@emp.com","architect@emp.com","2025-02-07","6.3","5","security,lambda,node","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Identity & Access Management Foundation","EPIC-AUTH-IAM","Enterprise Mediator Platform","WI-AUTH-001","TASK-AUTH-001-A","Terraform,Node.js","Medium","Low","App Client created; Lambda trigger linked; OAuth flows set","Token generation includes custom claims","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","None","None","Token claim verification","Deploy Lambda code first","Enables RBAC via tokens"
"TASK-INFRA-002-A","RDS PostgreSQL with pgvector","Define RDS instance in Terraform. Enable pgvector extension.","Task","Sprint Backlog","High","devops.lead@emp.com","architect@emp.com","2025-02-10","6","3","database,infrastructure,postgres","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Infrastructure & DevOps Foundation","EPIC-INFRA-DEVOPS","Enterprise Mediator Platform","WI-INFRA-002","TASK-INFRA-001-A","Terraform,PostgreSQL","Medium","Medium","RDS provisioned; pgvector enabled; SG allows EKS access","Connectivity test successful","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","Backend Team","None","Extension verification query","Secure credentials storage","Core data and vector storage"
"TASK-AUTH-002-A","JWT Strategy Implementation","Implement Passport.js JWT strategy to validate Cognito tokens. Verify signature using JWKS.","Task","Sprint Backlog","Critical","backend.dev@emp.com","tech.lead@emp.com","2025-02-10","6.3","5","backend,nestjs,security","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","Identity & Access Management Foundation","EPIC-AUTH-IAM","Enterprise Mediator Platform","WI-AUTH-002","TASK-AUTH-001-B","NestJS,Passport.js","Medium","Low","Tokens validated against JWKS; Expired tokens rejected","Unit tests passing with mock tokens","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","Frontend Team","Cognito Issuer URL","Auth middleware tests","Env vars for Issuer URL","Secures API endpoints"
"TASK-AI-001-A","S3 Service & Upload Controller","Implement S3Service for multipart upload. Validate file types (PDF/DOCX) and size.","Task","Sprint Backlog","High","backend.dev@emp.com","tech.lead@emp.com","2025-02-12","10","5","backend,nestjs,aws-sdk","Sprint 1","Establish Secure Cloud Foundation & Identity Layer","AI SOW Ingestion & Matching Engine","EPIC-AI-SOW","Enterprise Mediator Platform","WI-AI-001","TASK-AUTH-002-A","NestJS,AWS SDK","Medium","Low","File type/size validation; S3 storage; DB record creation","Integration test uploading file","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-03","2025-02-14","100%","None","S3 Bucket","File upload tests","S3 Bucket Policy","Input mechanism for AI pipeline"
"TASK-AI-002-A","SQS Consumer Setup & Text Extraction","Set up SQS consumer loop. Implement text extraction from PDF/DOCX.","Task","Sprint Backlog","Critical","ai.eng@emp.com","tech.lead@emp.com","2025-02-20","10","5","ai,backend,worker","Sprint 2","Activate AI Pipeline & Financial Ledger","AI SOW Ingestion & Matching Engine","EPIC-AI-SOW","Enterprise Mediator Platform","WI-AI-002","TASK-AI-001-A","Node.js,AWS SDK","Medium","Medium","Consumer reads message; File downloaded; Text extracted","Unit test with sample files","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","100%","None","None","Extraction accuracy test","Worker node group","Prepares data for AI analysis"
"TASK-AI-003-A","OpenAI Integration & Prompt Engineering","Implement OpenAI client. Design system prompts to extract JSON schema (skills, scope).","Task","Sprint Backlog","Critical","ai.eng@emp.com","tech.lead@emp.com","2025-02-24","12","8","ai,llm,openai","Sprint 2","Activate AI Pipeline & Financial Ledger","AI SOW Ingestion & Matching Engine","EPIC-AI-SOW","Enterprise Mediator Platform","WI-AI-003","TASK-AI-002-A","OpenAI,Prompt Engineering","High","High","Reliable JSON extraction; Error handling for limits","Test against variation of inputs","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","100%","Product Owner","OpenAI API","Hallucination check","API Key management","Core AI value proposition"
"TASK-FIN-001-A","Stripe Webhook Controller & Verification","Implement NestJS controller for webhooks. Middleware to verify Stripe-Signature.","Task","Sprint Backlog","Critical","backend.dev@emp.com","fin.lead@emp.com","2025-02-19","8.3","5","financial,stripe,security","Sprint 2","Activate AI Pipeline & Financial Ledger","Financial Operations & Ledger","EPIC-FIN-OPS","Enterprise Mediator Platform","WI-FIN-001","TASK-INFRA-002-C","NestJS,Stripe","High","High","Signature validation passes; Invalid rejected","Stripe CLI test successful","2025-02-01T09:00:00Z","2025-02-01T09:00:00Z","2025-02-17","2025-02-28","100%","None","Stripe Account","Security signature tests","Expose endpoint via Ingress","Financial data integrity"
