"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TSK-INFRA-001-01","Design Database Schema & Terraform Plan","Define VPC networking requirements, security groups, and RDS parameter groups. Create Terraform module structure.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2025-05-03","3.2","2","devops,terraform,architecture","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","Core Infrastructure & DevOps","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-001","","Terraform,AWS Networking","Medium","Low","VPC/Subnet architecture diagram approved; Terraform plan output validated","Plan reviewed by Security Architect","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","Backend Lead","AWS Quota Approval","Plan validation","None","Foundation for data persistence"
"TSK-INFRA-001-02","Implement RDS Terraform Module with pgvector","Write Terraform code to provision RDS Postgres 15+. Include rds_master_user_password management via Secrets Manager. Configure pgvector extension.","Task","Sprint Backlog","Critical","devops.lead@company.com","tech.lead@company.com","2025-05-05","6.3","3","devops,database,terraform","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","Core Infrastructure & DevOps","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-001","TSK-INFRA-001-01","Terraform,PostgreSQL","High","Medium","RDS instance provisioned in private subnet; pgvector enabled; Secrets in ASM","Terraform apply successful; Connectivity verified","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","None","None","Infrastructure verification","Requires VPC","Enables vector search capabilities"
"TSK-INFRA-003-01","Define Event Topology & Schema Registry","Map out all topics (SowUploaded, PayoutSuccessful, etc.). Define JSON schemas for event payloads using Zod or Avro. Plan DLQ strategy.","Task","Sprint Backlog","High","backend.arch@company.com","tech.lead@company.com","2025-05-04","5.2","3","architecture,events","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","Core Infrastructure & DevOps","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-003","","System Architecture,Event-Driven Design","Medium","Low","List of SNS Topics/SQS Subscriptions defined; Schemas documented","Architecture sign-off","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","DevOps","None","None","None","Ensures consistent messaging contracts"
"TSK-INFRA-003-02","Implement SNS/SQS Terraform Modules","Write IaC to provision Topics, Queues, DLQs, and Subscription bindings based on the defined topology.","Task","Sprint Backlog","High","devops.lead@company.com","backend.arch@company.com","2025-05-06","8.3","5","devops,terraform,aws","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","Core Infrastructure & DevOps","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-003","TSK-INFRA-003-01","Terraform,AWS IAM","High","Low","Topics/Queues provisioned; DLQ redrive policy configured; IAM policies active","Terraform apply successful","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","None","None","Message flow verification","None","Enables async microservices"
"TSK-SOW-001-01","Develop S3 Multipart Upload Service","Implement NestJS service using aws-sdk to handle multipart streaming uploads to S3.","Task","Sprint Backlog","High","backend.dev1@company.com","backend.arch@company.com","2025-05-07","6.3","3","backend,nestjs,aws","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-001","","NestJS,Node Streams,AWS SDK","High","Medium","Files >10MB stream successfully; Low memory footprint; Secure keys","Unit tests passing; Service functional","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","None","S3 Bucket","Load testing for large files","None","Core file ingestion capability"
"TSK-SOW-001-02","Implement Upload Controller & Validation","Create Controller with FileInterceptor. Add ParseFilePipe for validation (PDF/DOCX, Max 10MB). Sanitize filenames.","Task","Sprint Backlog","High","backend.dev1@company.com","backend.arch@company.com","2025-05-08","5.2","2","backend,nestjs,api","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-001","","NestJS,Express/Multer","Medium","Low","Invalid types rejected; Oversized files rejected; Filenames sanitized","API Endpoint callable; Validation active","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","None","None","Integration tests with bad files","None","Secure entry point for documents"
"TSK-SOW-001-03","Implement Transactional State & Event Publishing","Wrap DB update and Event Publication (SNS SowUploaded) in a logical transaction. Handle rollback on failure.","Task","Sprint Backlog","Critical","backend.dev1@company.com","backend.arch@company.com","2025-05-10","6.3","3","backend,events,consistency","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-001","TSK-SOW-001-01,TSK-SOW-001-02,TSK-INFRA-003-02","NestJS,Prisma,SNS","High","Medium","DB record matches S3 state; Event published on success only; Audit log generated","Integration tests passing for transaction rollbacks","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","None","None","Fault injection testing","None","Ensures system state consistency"
"TSK-SOW-002-01","Implement SQS Consumer & Idempotency Logic","Set up NestJS microservice with SQS strategy. Implement idempotency check (DB status != PENDING). Handle message ACKs/NACKs.","Task","Sprint Backlog","High","backend.dev1@company.com","backend.arch@company.com","2025-05-12","6.2","3","backend,worker,sqs","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-002","TSK-INFRA-003-02","NestJS Microservices,SQS","High","Low","Reliable consumption; Duplicates ignored; NACKs for retryable errors","Worker consuming dummy messages successfully","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","None","None","Consumer reliability tests","Deploy separate worker service","Resilient processing foundation"
"TSK-SOW-002-02","Implement File Retrieval & Text Extraction","Download file from S3 using key. Extract raw text content from PDF/DOCX using pdf-parse/mammoth.","Task","Sprint Backlog","Medium","backend.dev1@company.com","backend.arch@company.com","2025-05-14","8.7","5","backend,parsing","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","AI-Powered SOW Automation","EPIC-SOW","Enterprise Mediator Platform","WI-SOW-002","TSK-SOW-001-01","File Parsing,Node.js","Medium","High","Text extracted accurately; Corrupted files handled; Memory optimized","Extraction logic validated against sample corpus","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","None","None","Test with various PDF formats","None","Converts binary to processable data"
"TSK-FIN-001-01","Stripe Service Wrapper & Customer Management","Create robust service wrapper for Stripe API. Implement createCustomer, updateCustomer. Handle API rate limits.","Task","Sprint Backlog","High","backend.dev2@company.com","tech.lead@company.com","2025-05-09","6.3","3","backend,finance,stripe","Sprint 1","Establish Core Infrastructure and SOW Ingestion Pipeline","Financial Engine & Payments","EPIC-FINANCE","Enterprise Mediator Platform","WI-FIN-001","","NestJS,Stripe SDK","High","Medium","Idempotent customer creation; Stripe IDs stored; Error mapping implemented","Service integration tests passing against Stripe Sandbox","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-05","2025-05-16","100%","None","Stripe API Keys","Contract tests with Stripe","Env vars for Stripe keys","Foundation for payments"
