"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INF-001","Design & Provision VPC Networking","Create VPC, public/private subnets across 3 AZs, NAT Gateways, and Route Tables using Terraform.","Task","Sprint Backlog","Critical","devops.lead@emp.com","tech.lead@emp.com","2025-05-05","6.3","3","infrastructure,terraform,networking,aws","Sprint 1","Establish Core Infrastructure & Identity Foundation","Core Infrastructure & Security","EPIC-CORE-INFRA","Enterprise Mediator Platform","WI-INFRA-001","","Terraform,AWS Networking","Medium","Medium","VPC created with non-overlapping CIDR; Subnets distributed across 3 AZs; Internet access verified","Terraform apply successful; Network reachability tests passed","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","20%","Security Architect","AWS Account Limits check","Infrastructure verification tests (Terratest)","Apply to staging environment first","Foundation for all high-availability resources"
"TASK-INF-002","Provision EKS Control Plane & Node Groups","Deploy EKS cluster, configure OIDC provider, and set up managed node groups with autoscaling.","Task","Sprint Backlog","Critical","devops.lead@emp.com","tech.lead@emp.com","2025-05-08","12.2","5","infrastructure,kubernetes,eks,terraform","Sprint 1","Establish Core Infrastructure & Identity Foundation","Core Infrastructure & Security","EPIC-CORE-INFRA","Enterprise Mediator Platform","WI-INFRA-001","TASK-INF-001","Terraform,Kubernetes,AWS IAM","High","Medium","Cluster status Active; Worker nodes registered in 3 AZs; Autoscaler permissions configured","kubectl get nodes returns Ready for all nodes; OIDC provider validated","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","40%","None","None","Smoke test cluster deployments","Requires admin IAM permissions","Runtime environment for all microservices"
"TASK-BE-001","Design Audit Log Schema & OpenSearch Index","Define the JSON schema for audit events and provision the OpenSearch index template via Terraform.","Task","Sprint Backlog","High","backend.dev@emp.com","tech.lead@emp.com","2025-05-06","3.2","2","backend,opensearch,compliance,design","Sprint 1","Establish Core Infrastructure & Identity Foundation","Core Infrastructure & Security","EPIC-CORE-INFRA","Enterprise Mediator Platform","WI-BE-002","","Elasticsearch,TypeScript","Medium","Low","Schema covers Actor, Action, Entity, Changes; Index mapping defined; Immutability policy set","Schema validated; Terraform plan for OpenSearch successful","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","15%","Compliance Officer","None","Schema validation tests","No deployment, design only","Critical for SOC 2 compliance logging"
"TASK-BE-002","Implement Async Audit Interceptor","Create a NestJS Interceptor/Decorator that captures request details and dispatches events to the logging queue.","Task","Sprint Backlog","High","backend.dev@emp.com","tech.lead@emp.com","2025-05-12","10.3","5","backend,nestjs,observability","Sprint 1","Establish Core Infrastructure & Identity Foundation","Core Infrastructure & Security","EPIC-CORE-INFRA","Enterprise Mediator Platform","WI-BE-002","TASK-BE-001","NestJS,AOP,RxJS","Medium","Low","Interceptor captures user ID, request body; Logging is async/non-blocking","Unit tests pass; Integration test verifies log appearance in mock sink","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","40%","None","None","Performance test to ensure no latency overhead","Deploy as shared library","Enables automated compliance tracking"
"TASK-AI-001","Implement SOW File Text Extraction","Develop service to download SOW from S3 and extract raw text from PDF/DOCX formats.","Task","Sprint Backlog","Critical","backend.dev@emp.com","tech.lead@emp.com","2025-05-18","8.7","3","backend,ai,file-processing","Sprint 2","Implement AI Processing Pipeline & Data Ingestion","AI-Powered SOW Processing","EPIC-AI-SOW","Enterprise Mediator Platform","WI-AI-002","","Node.js,Text Parsing","Medium","High","Supports .pdf/.docx; Handles scanned PDFs; Memory efficient","Tests passed with sample SOW corpus; Memory usage within limits","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","30%","None","None","Corpus testing for diverse file formats","Lambda or Worker container","First step in SOW automation pipeline"
"TASK-AI-002","Implement OpenAI PII Sanitization Logic","Construct prompts and logic to identify and redact PII from raw text using OpenAI.","Task","Sprint Backlog","Critical","ai.engineer@emp.com","product.owner@emp.com","2025-05-22","12.7","5","ai,llm,security,gdpr","Sprint 2","Implement AI Processing Pipeline & Data Ingestion","AI-Powered SOW Processing","EPIC-AI-SOW","Enterprise Mediator Platform","WI-AI-002","TASK-AI-001","Prompt Engineering,TypeScript","High","High","Redacts Names, Emails, Phones; Replaces with [REDACTED]; Sanitized text saved to S3","Passes PII detection test suite; Prompt evaluation score > 95%","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-15","2025-05-28","50%","Security Lead","OpenAI API Key","Adversarial testing for PII leakage","Sensitive prompts stored in Secrets Manager","Ensures GDPR compliance for uploaded docs"
"TASK-AI-003","Implement Structured Data Extraction & Embedding","Extract JSON project requirements from SOW and generate vector embeddings for skills.","Task","Sprint Backlog","High","ai.engineer@emp.com","product.owner@emp.com","2025-06-02","12","5","ai,vector-db,pgvector","Sprint 3","Finalize AI Matching & Start Financial Core","AI-Powered SOW Processing","EPIC-AI-SOW","Enterprise Mediator Platform","WI-AI-002","TASK-AI-002","OpenAI API,PostgreSQL","Medium","Medium","JSON matches Zod schema; Embeddings stored in pgvector; Skills indexed","Extraction accuracy verified; Vector search returns relevant results","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-29","2025-06-11","40%","Database Specialist","pgvector extension","Accuracy benchmarking","Requires DB migration for vector column","Enables intelligent vendor matching"
"TASK-FIN-001","Implement Invoice Entity & CRUD","Create Invoice data model, DTOs, and basic management services using NestJS and Prisma.","Task","Sprint Backlog","High","backend.dev@emp.com","finance.stakeholder@emp.com","2025-06-04","6","2","backend,finance,prisma","Sprint 3","Finalize AI Matching & Start Financial Core","Financial Workflows","EPIC-FINANCE","Enterprise Mediator Platform","WI-FIN-001","WI-FULL-002","NestJS,Prisma","Medium","Low","Invoice linked to Project/Client; Totals calculation correct; Status transitions valid","API endpoints functional; Unit tests passing","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-29","2025-06-11","20%","None","None","Unit tests for calculation logic","DB Migration required","Core entity for revenue collection"
"TASK-FIN-002","Implement Stripe Payment Intent Integration","Service to create Stripe Customers and PaymentIntents from Invoices.","Task","Sprint Backlog","Critical","backend.dev@emp.com","finance.stakeholder@emp.com","2025-06-16","12","5","backend,finance,stripe,integration","Sprint 4","Complete Financial Payment Cycle","Financial Workflows","EPIC-FINANCE","Enterprise Mediator Platform","WI-FIN-001","TASK-FIN-001","Stripe API,TypeScript","Medium","Medium","Creates Stripe Customer; Generates PaymentIntent; Stores external IDs correctly","Payment link generation functional; Integration tests with Stripe Mock pass","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-06-12","2025-06-25","40%","None","Stripe API Keys","Integration tests with mock gateway","Configure Stripe Webhooks in dashboard","Allows clients to pay invoices"
"TASK-FIN-003","Implement Secure Webhook Handler","Endpoint to receive Stripe webhooks, validate signatures, and update Invoice/Project status.","Task","Sprint Backlog","Critical","backend.dev@emp.com","tech.lead@emp.com","2025-06-20","14.3","5","backend,security,stripe,webhooks","Sprint 4","Complete Financial Payment Cycle","Financial Workflows","EPIC-FINANCE","Enterprise Mediator Platform","WI-FIN-001","TASK-FIN-002","Security,NestJS","High","High","Validates Stripe-Signature; Handles payment_intent.succeeded; Idempotent processing; Updates Ledger","Stripe CLI tests pass; Idempotency logic verified","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-06-12","2025-06-25","50%","None","Publicly accessible endpoint (ngrok for dev)","Security signature verification tests","Secret rotation policy required","Closes the payment loop automatically"
