"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-INFRA-001.1","VPC Network Architecture Design & Implementation","Design and implement VPC with public/private subnets across 3 AZs, NAT Gateways, and Internet Gateways using Terraform modules.","Task","Sprint Backlog","Critical","devops.engineer@emp.com","tech.lead@emp.com","2025-05-03","5.2","3","infrastructure,terraform,networking","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-001","","Terraform,AWS Networking","Medium","Low","VPC created; Subnets configured; Terraform apply succeeds","Terraform plan applied; Network reachability verified","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","10%","Security Architect review","AWS Account Limits","Infrastructure testing","Apply to dev environment first","Foundation for EKS"
"TASK-INFRA-001.2","EKS Control Plane & Node Group Configuration","Provision EKS Control Plane, OIDC provider, and Managed Node Groups (On-Demand & Spot) using Terraform.","Task","Sprint Backlog","Critical","devops.engineer@emp.com","tech.lead@emp.com","2025-05-06","10.3","5","infrastructure,kubernetes,eks","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-001","TASK-INFRA-001.1","Terraform,Kubernetes,AWS IAM","High","Medium","Cluster Active 1.29+; Nodes Ready; OIDC configured","kubectl get nodes returns Ready status","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","20%","None","None","Cluster smoke test","Verify IRSA configuration","Enables microservices deployment"
"TASK-INFRA-002.1","RDS Instance Provisioning","Configure RDS PostgreSQL 15+ instance with multi-AZ, encryption at rest, and automated backups using Terraform.","Task","Sprint Backlog","Critical","devops.engineer@emp.com","tech.lead@emp.com","2025-05-08","6.3","3","infrastructure,database,rds","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-002","TASK-INFRA-001.1","Terraform,AWS RDS","Medium","Low","RDS available; Connectivity from VPC; Encryption enabled","Connectivity test successful","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","15%","None","None","Connection test","Store credentials in Secrets Manager","Persistent storage"
"TASK-AUTH-001.1","JWT Strategy Implementation","Implement `passport-jwt` strategy to validate Cognito Access Tokens using JWKS.","Task","Sprint Backlog","Critical","backend.lead@emp.com","tech.lead@emp.com","2025-05-03","6","3","backend,security,auth","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Identity & Access Management","EPIC-AUTH","Enterprise Mediator Platform","WI-AUTH-001","","NestJS,Passport.js","Medium","Low","Valid tokens accepted; Invalid tokens rejected (401)","Unit tests mocking Cognito tokens passing","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","10%","None","Cognito User Pool ID","Unit tests","None","Core auth logic"
"TASK-AUTH-001.2","RBAC Guard & Decorator Implementation","Create `@Roles()` decorator and Guard to check user roles against required roles for routes.","Task","Sprint Backlog","Critical","backend.lead@emp.com","tech.lead@emp.com","2025-05-05","5.2","3","backend,security,auth","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Identity & Access Management","EPIC-AUTH","Enterprise Mediator Platform","WI-AUTH-001","TASK-AUTH-001.1","NestJS,TypeScript","Medium","Medium","Guard blocks missing roles (403); Allows valid roles","Integration tests with different role combinations passing","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","10%","None","None","Integration tests","None","Enforces RBAC"
"TASK-FIN-002.1","Wise API Client Wrapper","Implement typed client for Wise API (Transfer, Profile, Quote endpoints). Handle authentication and error mapping.","Task","Sprint Backlog","Critical","backend.engineer@emp.com","tech.lead@emp.com","2025-05-07","10","5","backend,finance,integration","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Financial Transactions & Invoicing","EPIC-FINANCE","Enterprise Mediator Platform","WI-FIN-002","","NestJS,Axios/Fetch","Medium","Medium","Create quote; Create transfer; Error handling","Integration tests against Wise Sandbox passing","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","20%","None","Wise Sandbox Access","Integration tests","Configure API Keys","Financial integration"
"TASK-AI-002.1","Worker Service Scaffold & SQS Consumer","Setup Python/Node worker service, configure SQS consumer loop with error handling and DLQ support.","Task","Sprint Backlog","High","ai.engineer@emp.com","tech.lead@emp.com","2025-05-05","6","3","backend,ai,worker","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","AI SOW Processing & Matching","EPIC-AI","Enterprise Mediator Platform","WI-AI-002","","Python,SQS,Docker","Medium","Low","Consumes messages; ACKs success; NACKs failure","Test message consumption verified locally/dev","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","15%","DevOps for SQS","None","Unit tests","Deploy container to EKS","Async processing foundation"
"TASK-AI-002.2","Document Text Extraction (OCR/Parsing)","Implement text extraction logic for PDF and DOCX files using libraries (e.g., PyPDF2, python-docx).","Task","Sprint Backlog","High","ai.engineer@emp.com","tech.lead@emp.com","2025-05-08","8.3","3","ai,parsing,python","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","AI SOW Processing & Matching","EPIC-AI","Enterprise Mediator Platform","WI-AI-002","TASK-AI-002.1","Python,File Processing","Medium","Medium","Extracts text from PDF/DOCX; Handles large files","Unit tests with sample documents passing","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","20%","None","None","Unit tests","Include libs in Dockerfile","Ingest raw data"
"TASK-INFRA-001.3","Cluster Autoscaler & Metrics Server Deployment","Deploy Metrics Server and Cluster Autoscaler via Helm using Terraform helm_release resource.","Task","Sprint Backlog","High","devops.engineer@emp.com","tech.lead@emp.com","2025-05-12","5.1","2","infrastructure,kubernetes,helm","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-001","TASK-INFRA-001.2","Helm,Kubernetes","Medium","Low","Metrics API available; Autoscaling works","Manual scaling test triggers node addition","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","10%","None","None","Scale test","None","Scalability"
"TASK-INFRA-002.2","Database Parameter Group & pgvector Activation","Configure custom parameter group to preload libraries and create initialization script to enable `pgvector` extension.","Task","Sprint Backlog","High","devops.engineer@emp.com","tech.lead@emp.com","2025-05-12","4.3","2","infrastructure,database,pgvector","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Cloud Infrastructure & DevOps Foundation","EPIC-INFRA","Enterprise Mediator Platform","WI-INFRA-002","TASK-INFRA-002.1","PostgreSQL,Terraform","Medium","Medium","Extension vector created successfully","SQL query creating vector column succeeds","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","10%","None","None","Smoke test","None","AI capability enablement"
"TASK-AUTH-002.1","MFA Setup Endpoint (Associate Token)","Implement endpoint calling `AssociateSoftwareToken` to start MFA setup and return Secret Code.","Task","Sprint Backlog","High","backend.lead@emp.com","tech.lead@emp.com","2025-05-12","6.3","3","backend,security,mfa","Sprint 1","Establish Cloud Infrastructure & Core Security Foundation","Identity & Access Management","EPIC-AUTH","Enterprise Mediator Platform","WI-AUTH-002","TASK-AUTH-001.1","NestJS,AWS SDK","Medium","Medium","Returns Secret Code for QR; Authenticated access only","Manual test with Authenticator App verified","2025-05-01T09:00:00Z","2025-05-01T09:00:00Z","2025-05-01","2025-05-14","15%","None","Cognito MFA Config","Manual verification","None","Security compliance"
